PRIM_STATE,H_MEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,17.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,14.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,17.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,30.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,32.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,34.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,33.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,21.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,21.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,19.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,17.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,38.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,19.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,23.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,28.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,39.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,34.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,38.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,85.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,131.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,27.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,57.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,61.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,45.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,62.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,40.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,45.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,33.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,23.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,25.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,33.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,22.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,50.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,29.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,90.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,49.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,35.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,167.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,173.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,169.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,125.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,112.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,135.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,136.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,85.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,80.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,159.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,122.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,157.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,92.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,24.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,22.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,22.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,28.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,31.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,24.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,31.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,13.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,17.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,15.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,13.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,14.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,16.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,19.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,19.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,16.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,30.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,33.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,18.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,25.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,17.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,24.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,13.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,10.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,12.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,12.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,30.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,29.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,11.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,14.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,17.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,15.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,15.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
